period_start,join_fin_year,country,age_bracket,n
2021-12-01,2022,United States,25-34,3
2021-12-01,2022,United States,35-39,1
2021-12-01,2022,United States,40-54,2
2021-12-01,2022,United States,55-64,1
2021-12-01,2022,United States,65+,2
2022-01-01,2022,Australia,,8770
2022-01-01,2022,Australia,0-17,85
2022-01-01,2022,Australia,18-24,263
2022-01-01,2022,Australia,25-34,646
2022-01-01,2022,Australia,35-39,400
2022-01-01,2022,Australia,40-54,629
2022-01-01,2022,Australia,55-64,198
2022-01-01,2022,Australia,65+,65
2022-01-01,2022,New Zealand,,3886
2022-01-01,2022,New Zealand,0-17,65
2022-01-01,2022,New Zealand,18-24,174
2022-01-01,2022,New Zealand,25-34,441
2022-01-01,2022,New Zealand,35-39,231
2022-01-01,2022,New Zealand,40-54,404
2022-01-01,2022,New Zealand,55-64,89
2022-01-01,2022,New Zealand,65+,36
2022-01-01,2022,United Kingdom,,11
2022-01-01,2022,United Kingdom,0-17,1
2022-01-01,2022,United Kingdom,18-24,3
2022-01-01,2022,United Kingdom,25-34,3
2022-01-01,2022,United Kingdom,35-39,3
2022-01-01,2022,United Kingdom,40-54,5
2022-01-01,2022,United Kingdom,55-64,5
2022-01-01,2022,United Kingdom,65+,1
2022-01-01,2022,United States,,13
2022-01-01,2022,United States,25-34,3
2022-01-01,2022,United States,55-64,1
